time,valve_states (),pressure[0] (psi),pressure[1] (psi),pressure[2] (psi),pressure[3] (psi),pressure[4] (psi),pressure[5] (psi),pressure[6] (psi),pressure[7] (psi),samplerate (Hz),motor_setpoint[0] (degrees),motor_setpoint[1] (degrees),main_cycle_time (microseconds),motor_cycle_time (microseconds),adc_cycle_time (microseconds),telemetry_cycle_time (microseconds),ebatt (Volts),ibus (Amps),telemetry_rate (Hz),motor_control_gain[0] (),motor_control_gain[1] (),motor_control_gain[2] (),motor_position[0] (),motor_position[1] (),motor_pwm[0] (),motor_pwm[1] (),count1 (),count2 (),count3 (),STATE (),load[0] (lbs),load[1] (lbs),load[2] (lbs),load[3] (lbs),thrust_load (lbs),thermocouple[0] (degC),thermocouple[1] (degC),thermocouple[2] (degC),thermocouple[3] (degC),ivlv[0] (Amps),ivlv[1] (Amps),ivlv[2] (Amps),ivlv[3] (Amps),ivlv[4] (Amps),ivlv[5] (Amps),ivlv[6] (Amps),ivlv[7] (Amps),ivlv[15] (Amps),evlv[0] (Volts),evlv[1] (Volts),evlv[2] (Volts),evlv[3] (Volts),evlv[4] (Volts),evlv5,evlv[6] (Volts),evlv[7] (Volts),evlv[8] (Volts),evlv[9] (Volts),evlv[10] (Volts),evlv[11] (Volts),evlv[12] (Volts),evlv[13] (Volts),evlv[14] (Volts),evlv15,LOG_TO_AUTO (),auto_states (),
9.854471129148697,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,2,9946,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.31,6.29,6.33,7.13,6.31,-1,0,
9.885990302711726,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99020,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.31,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
9.891478947395369,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.32,6.31,6.29,6.33,7.13,6.31,-1,0,
9.90013858145159,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99023,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.3,-1,0,
9.937931467034852,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
10.050478549741696,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,3,9946,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.01,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
10.145813884427849,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99021,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.31,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
10.241090339063756,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
10.353218861413428,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
10.44972710376713,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
10.54649518634256,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.05,-29.689,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
10.641515214092983,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19813,99021,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
10.754395950417878,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99023,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.31,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
10.849076351211819,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19813,99021,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
10.945520593510906,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,3,9948,19829,99021,12.54,0.0,10,500.0,0.0,0.0,-63.91,-29.652,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
11.04111022174739,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9967,19814,99021,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
11.154353625048426,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19814,99023,12.543,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
11.250404053678126,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19815,99021,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.33,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
11.346072188648268,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,3,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.31,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
11.441926777110849,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,3,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
11.554356099717205,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.06,0.02,6.34,6.31,6.27,6.27,6.32,6.33,6.35,6.3,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
11.650468395066364,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.31,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
11.745278075970624,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99021,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.33,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
11.840939384268275,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,3,9947,19811,99021,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.31,6.29,6.33,7.13,6.31,-1,0,
11.953288066805817,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,3,9946,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.32,6.29,6.32,7.13,6.31,-1,0,
12.049022761832756,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99021,12.536,0.0,10,500.0,0.0,0.0,-64.014,-29.603,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.31,6.29,6.33,7.13,6.31,-1,0,
12.145365457378524,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,2,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.08,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.33,6.32,6.31,6.29,6.33,7.13,6.31,-1,0,
12.241659512882784,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99021,12.54,0.0,10,500.0,0.0,0.0,-63.88,-29.603,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.02,6.34,6.31,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
12.353002541228836,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,2,9946,19813,99024,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
12.449099049897855,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19813,99020,12.54,0.0,10,500.0,0.0,0.0,-64.05,-29.756,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.31,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
12.545275345301627,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99023,12.543,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
12.641890254413017,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9947,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
12.753055789274274,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19813,99021,12.54,0.0,10,500.0,0.0,0.0,-64.08,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
12.84939848482004,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,3,9948,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.31,6.29,6.33,7.13,6.31,-1,0,
12.945637500277334,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,2,9948,19812,99022,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
13.04115032844828,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,2,9948,19813,99021,12.543,0.0,10,500.0,0.0,0.0,-63.947,-29.737,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
13.15306253061336,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9948,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-63.874,-29.7,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.31,6.31,6.29,6.33,7.13,6.31,-1,0,
13.25033792028836,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19812,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.33,6.31,6.32,6.29,6.33,7.13,6.31,-1,0,
13.34589810849972,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,9946,19813,99022,12.54,0.0,10,500.0,0.0,0.0,-64.014,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.02,6.34,6.32,6.27,6.27,6.31,6.33,6.35,6.3,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
13.456420656145626,0,-249.0,-199.0,-199.0,-199.0,-312.0,-199.0,-312.0,-199.0,50,0.0,0.0,4,10315,19816,99022,12.54,0.0,10,500.0,0.0,0.0,-63.947,-29.67,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2047,2047,2047,2047,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.02,6.34,6.31,6.27,6.27,6.31,6.33,6.35,6.31,6.32,6.34,6.32,6.32,6.29,6.33,7.13,6.31,-1,0,
